Publisher,Region
"Twice Different, Humble Games",Multi-region
Two Tribes,Europe
"U&I Entertainment, Moonbite Games",Multi-region
Ubisoft,Europe
"Ubisoft, Blue Byte, Excalibur Publishing",Multi-region
"VU Games, Electronic Arts, CyberFront, Sonokong",Multi-region
Valve Software,North America
"Valve Software, Electronic Arts",Multi-region
"Valve Software, Electronic Arts, CyberFront, EA Games",Multi-region
Viva Media,North America
Warner Bros. Interactive Entertainment,North America
"Warner Bros. Interactive Entertainment, CD Projekt, Spike Chunsoft, Bandai Namco Games, CD Projekt Red Studio",Multi-region
Whiptail Interactive,North America
Wired Productions,Europe
"Wolf Brew Games, CrossFunction, Digerati Distribution, Merge Games",Multi-region
Xbox Game Studios,North America
Xicat Interactive,North America
"ZA/UM, iam8bit, Spike Chunsoft",Multi-region
"bitComposer, Kalypso",Multi-region
"eBrain Studio, E-Home Entertainment",Multi-region
"id Software, GT Interactive, Tec Toy",Multi-region
tinyBuild,North America
"tobyfox, Fangamer, 8-4",Multi-region
